0,1,ds_name,conceptvar_sd,lsc,freq_class_sd,n3_mean,nr_cor_attr,f1_mean,c2,f4_mean,n1,l1_mean,best_node_mean,linear_discr_mean,leaves_per_class_mean,nr_class,freq_class_mean,elite_nn_mean,conceptvar_mean,l2_mean,f1v_mean,nre,random_node_mean,worst_node_mean,l3_mean,class_ent
0.8935874758228498,"{'depth': 2, 'length': 2, 'nodes': [xgboost, scaling]}",volcanoes-e4.csv,0.2498381786456533,0.9736230338168196,0.00022358191947851005,0.14057507987220447,0.0,0.9279094877383112,-1.408454413154113,0.583733068835558,0.18370607028753996,0.12780522229886965,0.913746031746032,0.9009904761904762,0.2,1252.0,0.00033173759046229687,0.8594412698412699,0.15490315973574334,0.17960360905411066,0.5339072315416897,6.985766732069428,0.913746031746032,0.913746031746032,0.18177752209758893,0.7680900940284991
0.8958122469635628,"{'depth': 2, 'length': 2, 'nodes': [xgboost, scaling]}",volcanoes-e3.csv,0.2476680197029809,0.972702392610912,0.00021685545419166798,0.1245105716523101,0.0,0.9299508014264064,-1.4208493211066469,0.6314347447385946,0.18245888801879406,0.12803681468671274,0.9162217027559056,0.903734005905512,0.2,1277.0,0.00032357716497754846,0.8653850885826773,0.15001351835622614,0.19131741606171115,0.529748130742248,7.007812260458599,0.9162217027559056,0.9162217027559056,0.18909519383948886,0.7660801331692392
0.8826834416777811,"{'depth': 2, 'length': 2, 'nodes': [xgboost, scaling]}",volcanoes-e5.csv,0.2545127718134825,0.9761164988872212,0.000255466580470696,0.13129496402877694,0.0,0.9450268237282221,-1.3853935472737042,0.6644469439319556,0.17985611510791366,0.1316962037883593,0.9082850707850708,0.8930019305019303,0.2,1112.0,0.00037712635646877993,0.8516167953667952,0.16496727790504695,0.17136002054802474,0.5858482847248737,6.8639688418616815,0.9082850707850708,0.9082850707850708,0.17379904493826862,0.77212617390125
0.9245004626003996,"{'depth': 2, 'length': 2, 'nodes': [qda, scaling]}",volcanoes-d4.csv,0.21436114999483855,0.9949001702671628,2.5456651316629158e-05,0.09232724751559973,0.0,0.9571236620537688,-1.600507598603718,0.8978307457411836,0.13149988444649874,0.1252270321667254,0.9432632927952582,0.93598165774473,0.2,8654.0,4.443749159118796e-05,0.9023568596563829,0.10676960571137027,0.1860889565617293,0.5618824230524498,8.964219907522994,0.9432632927952582,0.9432632927952582,0.17958141887328713,0.7406334316334081
0.9595620174602664,"{'depth': 2, 'length': 5, 'nodes': [xgboost, scaling, simple_imputation, poly_features, resample]}",vowel.csv,0.003323898382806487,0.9939985715743292,0.00026631952702431584,0.006060606060606061,0.045454545454545456,0.7949217395780456,-1.4010110201640624,0.012828282828282828,0.23434343434343435,0.011266372790170887,0.16666666666666669,0.505050505050505,0.09090909090909093,990.0,0.0004208754208754203,0.2303030303030303,0.901986796553904,0.01575757575757575,0.05989960405154174,6.651091390982102,0.09090909090909093,0.09090909090909093,0.03717171717171716,1.5911188950794504
0.9558744488737808,"{'depth': 2, 'length': 2, 'nodes': [catboost, scaling]}",wdbc.csv,0.13447771597743502,0.8894925577818206,2.8349030837912518e-05,0.04745166959578207,0.3333333333333333,0.7155573129362313,-20.89309499647707,0.0,0.07205623901581723,0.01246924423281648,0.8893170426065163,0.9560463659147868,0.5,569.0,8.040910836491568e-05,0.8541979949874687,0.42737414108186944,0.008787346221441172,0.0640197491605528,6.284269894324429,0.8172619047619047,0.8875939849624059,0.005272407732864637,0.8442167814719507
0.9990833207982941,"{'depth': 1, 'length': 1, 'nodes': [xgboost]}",wall-robot-navigation.csv,0.10986883324391564,0.9971931544061368,7.893441660397957e-06,0.11162023460410556,0.021739130434782608,0.9277789979587462,-11.254655175488141,0.0,0.2296554252199413,0.07144611594338159,0.6992297610646234,0.6279480458379542,0.25,5456.0,1.4958768611525174e-05,0.680542729441812,0.6492548199317831,0.08716924258367155,0.17125204534478697,8.475023214698943,0.4697640891218874,0.4822263669052659,0.06959598625011723,1.0293767904306628
0.8538814376199046,"{'depth': 2, 'length': 2, 'nodes': [xgboost, scaling]}",waveform-5000.csv,0.005031781712900046,0.9987582,4.091085234467628e-06,0.2652,0.06794871794871794,0.8705349392390346,-39.3059320434645,0.4817246495849288,0.3706,0.04653796128394505,0.5724,0.8622,0.3333333333333333,5000.0,4.963000000000029e-06,0.4674,0.6543776895704455,0.06074101958607581,0.09933988747396856,8.0474813379583,0.485,0.33440000000000003,0.0238595080723634,0.592795125442261
0.9863691414376372,"{'depth': 2, 'length': 2, 'nodes': [mlp, scaling]}",wilt.csv,0.2009779893432889,0.983700278114194,9.337310013817096e-06,0.04980367844595991,0.1,0.9929464339662284,-3.744882048802408,0.6524075222153337,0.08989460632362058,0.021325789660296742,0.9460632582174086,0.9377987954074912,0.5,4839.0,4.3560105963801294e-05,0.9065854764471364,0.10278463299805417,0.032651374250878266,0.22065293031012712,8.466050166113929,0.9460632582174086,0.9460632582174086,0.08576152097540812,0.7150166563227843
0.906558226986239,"{'depth': 3, 'length': 3, 'nodes': [lda, scaling, kernel_pca]}",analcatdata_birthday.csv,0.24891891472186675,0.8739951210358416,0.0003221840144570911,0.2547945205479452,0.0,0.8814436841765371,-19.698216877462162,0.2657534246575343,0.2767123287671233,0.05119901005986727,0.835885885885886,0.8792042042042041,0.5,365.0,0.00013260774379183072,0.8436186186186185,0.22399168108595252,0.11232876712328764,0.17357036307277654,3.9702919135521215,0.8548798798798798,0.8548798798798798,0.09041095890410956,0.10064876868404678
